threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.63,0.9578517820962817,0.9762371177923516,0.9614561925932139,0.9687902799788696,0.04982142857142857,0.038543807406786056,10642,558,919,22924,0.9010834183549531,0.8639887244538408,0.9736168710844436,0.9155326916694324,0.1877837837837838,0.02638312891555634,30052,6948,1196,44136
0.64,0.9574522729218389,0.976873186550606,0.9601979616658978,0.9684637999957698,0.04839285714285714,0.03980203833410225,10658,542,949,22894,0.9030024777729194,0.8675642691232629,0.9722491837995235,0.9169284540329123,0.18183783783783783,0.027750816200476484,30272,6728,1258,44074
0.65,0.9562252090289074,0.9774020971538626,0.957807322903997,0.9675055075410948,0.047142857142857146,0.04219267709600302,10672,528,1006,22837,0.9044478453092358,0.8704930677795139,0.9709035559869408,0.9179606436340505,0.176972972972973,0.02909644401305921,30452,6548,1319,44013
0.66,0.9553120452016095,0.9781498175574157,0.9556683303275595,0.9667783953498239,0.04544642857142857,0.04433166967244055,10691,509,1057,22786,0.9060996939221688,0.8739681339884232,0.9692270360892967,0.9191360284503949,0.17124324324324325,0.030772963910703256,30664,6336,1395,43937
0.67,0.9542276631566932,0.9791029342065578,0.953067986411106,0.9659100569582589,0.04330357142857143,0.04693201358889402,10715,485,1119,22724,0.9074721857843852,0.8770495081180517,0.9675946351363275,0.9200998489679476,0.16618918918918918,0.03240536486367246,30851,6149,1469,43863
0.68,0.9534857175470137,0.9801980198019802,0.9508451117728474,0.9652984756876437,0.04089285714285714,0.049154888227152624,10742,458,1172,22671,0.9090025749404849,0.880347378578321,0.9660284126003706,0.9211998821995036,0.16086486486486487,0.033971587399629403,31048,5952,1540,43792
0.69,0.9525154809805096,0.9812524410883999,0.948328649918215,0.9645096617327134,0.03857142857142857,0.05167135008178501,10768,432,1232,22611,0.910435796531118,0.8838328681794281,0.9640430600900026,0.9221971343560742,0.15524324324324323,0.035956939909997356,31256,5744,1630,43702
0.7,0.9519162172188455,0.9824087781938518,0.9462735394035986,0.9640026490632143,0.036071428571428574,0.05372646059640146,10796,404,1281,22562,0.9120754991983676,0.8873680571091541,0.9624768375540457,0.9233976360038518,0.14967567567567566,0.03752316244595429,31462,5538,1701,43631
0.71,0.9503467168906772,0.9829989947991784,0.9433376672398608,0.9627600376680079,0.03473214285714286,0.056662332760139246,10811,389,1351,22492,0.9138488072681339,0.8910797930004705,0.9609988529074385,0.924719542352554,0.14391891891891892,0.03900114709256155,31675,5325,1768,43564
0.72,0.9491767257369518,0.9835612835349816,0.941030910539781,0.9618261708284214,0.033482142857142856,0.058969089460218935,10825,375,1406,22437,0.9153670504785503,0.8947563384919328,0.9591017382864202,0.9258123589284953,0.13821621621621621,0.04089826171357981,31886,5114,1854,43478
0.73,0.9477213708871958,0.9843756876898024,0.9380530973451328,0.9606563010050683,0.03169642857142857,0.061946902654867256,10845,355,1477,22366,0.91689743963465,0.8986122618061309,0.95705020735904,0.9269110797760971,0.1322972972972973,0.04294979264096003,32105,4895,1947,43385
0.74,0.946408697885455,0.9855431274592157,0.9349494610577528,0.9595798717231285,0.02919642857142857,0.0650505389422472,10873,327,1551,22292,0.9189258125637663,0.9034756288487632,0.9547560222359481,0.9284082499436919,0.12497297297297297,0.04524397776405188,32376,4624,2051,43281
0.75,0.944953343035699,0.9861998580049698,0.9321394119867467,0.9584079001272128,0.027767857142857143,0.06786058801325337,10889,311,1618,22225,0.9206748287421659,0.9077705614057212,0.9527265507809053,0.9297054106706563,0.1185945945945946,0.04727344921909468,32612,4388,2143,43189
0.76,0.9435550609251491,0.9870361295496057,0.9292454808539193,0.9572693886368546,0.025982142857142856,0.07075451914608061,10909,291,1687,22156,0.9223752611378322,0.9119955987219366,0.9507632577428748,0.9309760127874199,0.1124054054054054,0.04923674225712521,32841,4159,2232,43100
0.77,0.9422994606626145,0.987838139950816,0.9266031959065554,0.9562413434903048,0.024285714285714285,0.07339680409344462,10928,272,1750,22093,0.9234805421950153,0.9156231365533691,0.948424953675108,0.9317354368932039,0.10708108108108108,0.05157504632489191,33038,3962,2338,42994
0.78,0.940644351225637,0.9885950339005882,0.9234156775573543,0.9548943921585635,0.02267857142857143,0.07658432244264564,10946,254,1826,22017,0.924719428654715,0.9194966126404254,0.9461087090796788,0.9326128555275289,0.10148648648648649,0.05389129092032119,33245,3755,2443,42889
0.79,0.9395885055503239,0.9893243243243244,0.9211508618881852,0.9540212410138349,0.021160714285714286,0.07884913811181479,10963,237,1880,21963,0.9257153962007482,0.9233526211244494,0.943395393982176,0.9332664106145251,0.09594594594594595,0.056604606017824056,33450,3550,2566,42766
0.8,0.9378477870045373,0.9901361929324465,0.9177955794153421,0.9525944628243078,0.019464285714285715,0.08220442058465798,10982,218,1960,21883,0.9268571150949813,0.9272454569167898,0.940990911497397,0.9340676184636945,0.09045945945945946,0.059009088502603016,33653,3347,2675,42657
0.81,0.9365921867420027,0.991006949175637,0.9151113534370675,0.9515481901439162,0.01767857142857143,0.08488864656293252,11002,198,2024,21819,0.9280838556089978,0.9312019956673012,0.9387408453189799,0.9349562237040129,0.08497297297297297,0.06125915468102003,33856,3144,2777,42555
0.82,0.9350512227834374,0.9916564081520995,0.9122174223042402,0.9502796225096121,0.016339285714285716,0.08778257769575976,11017,183,2093,21750,0.9291891366661809,0.9352549693684165,0.9362040060001765,0.9357292470510418,0.0794054054054054,0.06379599399982352,34062,2938,2892,42440
0.83,0.9330536769112233,0.9918996842249782,0.9090299039550392,0.9486584671948177,0.015803571428571427,0.09097009604496079,11023,177,2169,21674,0.9303065636690473,0.9397574303611889,0.933248036706962,0.9364914222468179,0.0732972972972973,0.06675196329303804,34288,2712,3026,42306
0.84,0.9309419855605969,0.9922790569419551,0.9055487983894644,0.9469321520985922,0.015,0.09445120161053559,11032,168,2252,21591,0.9311567798668804,0.9445440688603963,0.9295420453542751,0.9369830116516944,0.06686486486486487,0.07045795464572488,34526,2474,3194,42138
0.85,0.9292298033844134,0.9928482443593412,0.902487103132995,0.9455136655242112,0.013839285714285714,0.097512896867005,11045,155,2325,21518,0.9319705582276636,0.948846562281118,0.9263875408100238,0.9374825596321059,0.06118918918918919,0.07361245918997618,34736,2264,3337,41995
