threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.59,0.9617327283622977,0.9734870802121034,0.9701799270226062,0.9718306900535658,0.05625,0.029820072977393784,10570,630,711,23132,0.8867147646115726,0.8419083433042751,0.977874349245566,0.904811961014441,0.22497297297297297,0.022125650754433953,28676,8324,1003,44329
0.6,0.9617327283622977,0.9743254637436762,0.9692991653734849,0.9718058154447785,0.054375,0.03070083462651512,10591,609,732,23111,0.8882815916047223,0.8443300933866972,0.9772787434924557,0.9059528435001329,0.22075675675675677,0.02272125650754434,28832,8168,1030,44302
0.61,0.961390291927061,0.9749936639351187,0.9680828754770793,0.9715259801755162,0.05285714285714286,0.031917124522920774,10608,592,761,23082,0.8896783753583054,0.8467808284702956,0.9762860672372717,0.9069336147627488,0.21643243243243243,0.023713932762728315,28992,8008,1075,44257
0.62,0.9613046828182519,0.975834779296627,0.9670762907352263,0.9714357937310415,0.05098214285714286,0.032923709264773726,10629,571,785,23058,0.8912937861341884,0.8493968961278426,0.9755360451777993,0.9081071091215245,0.21191891891891892,0.024463954822200654,29159,7841,1109,44223
0.63,0.9611049282310304,0.976715582322504,0.9658600008388206,0.9712574597752051,0.04901785714285714,0.03413999916117938,10651,549,814,23029,0.8925934023223048,0.851891141242502,0.9743227741992412,0.9090029738935367,0.20754054054054055,0.025677225800758846,29321,7679,1164,44168
0.64,0.960876637274206,0.9774774774774775,0.964727593004236,0.9710606860158312,0.04732142857142857,0.03527240699576396,10670,530,841,23002,0.8943424185007045,0.8547165791970873,0.9735948116121063,0.910290917715971,0.20275675675675675,0.026405188387893762,29498,7502,1197,44135
0.65,0.9603629826213509,0.9779887602179836,0.9634274210460093,0.970653482918172,0.046160714285714284,0.036572578953990686,10683,517,872,22971,0.8960671427877375,0.8577125848685875,0.9725800758845848,0.9115418411123172,0.19767567567567568,0.02741992411541516,29686,7314,1243,44089
0.66,0.9599634734469081,0.9785872717966217,0.9622111311496037,0.97033011187007,0.044821428571428575,0.03778886885039634,10698,502,901,22942,0.8975853859981539,0.860464207564864,0.9715432806847261,0.9126362468399022,0.19302702702702704,0.02845671931527398,29858,7142,1290,44042
0.67,0.9597351824900836,0.979521162890124,0.9609109591913769,0.9701268181144539,0.04276785714285714,0.03908904080862308,10721,479,932,22911,0.8988485643492202,0.8629408764565106,0.9704182475955175,0.9135292285328627,0.18883783783783784,0.029581752404482485,30013,6987,1341,43991
0.68,0.959449818794053,0.9804165238258484,0.9595688462022397,0.9698806672460205,0.040803571428571425,0.04043115379776035,10743,457,964,22879,0.9005854345819365,0.8661462337611134,0.9692270360892967,0.9147919507802497,0.18351351351351353,0.030772963910703256,30210,6790,1395,43937
